id,position,name,score,ratings,category,category,full_address,zip_code,lat,lng
123,109,Top That Grille II,4.4,18,"American, Wings, Burgers","American, Wings, Burgers","1371 Bessemer Rd, Birmingham, AL, 35208",35208,33.48164,-86.89332
124,107,Eugene's Hot Chicken,4.2,78,"American, Sandwich, Chicken","American, Sandwich, Chicken","2268 9th Ave N, Birmingham, AL, 35203",35203,33.5249552,-86.8075938
125,106,Big Bad Breakfast (1926 29th Ave S),4.6,100,"Breakfast and Brunch, American, Sandwiches","Breakfast and Brunch, American, Sandwiches","1926 29th Avenue South, Homewood, AL, 35209",35209,33.4797074,-86.7882391
126,105,Urban Smoke Bar and Grill,4.7,12,"American, Sandwiches, Burgers","American, Sandwiches, Burgers","7100 Aaron Aronov Dr., Fairfield, AL, 35064",35064,33.46930616,-86.91808576
127,104,Chick-fil-A (385 Fieldstown Rd),4.7,68,"American, Fried Chicken, Southern, Sandwich, Fast Food","American, Fried Chicken, Southern, Sandwich, Fast Food","385 Fieldstown Rd, Gardendale, AL, 35071",35071,33.65146,-86.81553
128,102,Michael's Steaks &amp; Seafood,,,"American, Steak, Seafood","American, Steak, Seafood","1525 1st Avenue South, Birmingham, AL, 35233",35233,33.508594,-86.810383
129,103,Najis Pita Gourmet Restaurant,,,"Mediterranean, Greek, Vegetarian, Healthy","Mediterranean, Greek, Vegetarian, Healthy","166 W Valley Ave, Birmingham, AL, 35209",35209,33.4638336,-86.8397305
130,100,Urban Cookhouse (Birmingham),4.8,19,"American, Sandwich, Salads","American, Sandwich, Salads",,,33.51668,-86.81039
131,99,Ruth's Chris Steak House Brimingham (2300 Woodcrest Pl),4.3,18,"Steak, American","Steak, American","2300 Woodcrest Pl, Birmingham, AL, 35209",35209,33.4886762,-86.7884353
132,98,Ruby Sunshine (Homewood),4.3,47,"Breakfast and Brunch, American, Sandwiches, Family Meals","Breakfast and Brunch, American, Sandwiches, Family Meals","1017 OXMOOR ROAD, Birmingham, AL, 35209",35209,33.4735999,-86.80775
133,97,First Watch (Vestavia),4.8,49,"American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Meals","American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Meals","700 Montgomery Hwy, Birmingham, AL, 35216",35216,33.4463237,-86.791898
134,95,Champs Sandwich Shop,,,"Sandwiches, American, Burgers","Sandwiches, American, Burgers","216 19th Street North, Bessemer, AL, 35020",35020,33.40217,-86.95335
135,93,Smoothie King (420 Greensprings Hwy),,,"American, Healthy, Juice and Smoothies","American, Healthy, Juice and Smoothies","420 Greensprings Hwy, Homewood, AL, 35209",35209,33.46431,-86.82115
136,90,Roly Poly (Homewood),4.9,47,"Sandwiches, American, Healthy","Sandwiches, American, Healthy","2910 18th Street South, Homewood, AL, 35209",35209,33.47817,-86.79194
137,89,Post Office Pies Mountain Brook,4.6,54,"Pizza, Italian, Pasta","Pizza, Italian, Pasta","270 Rele St, Mountain Brook, AL, 35223",35223,33.48637,-86.77374
138,88,Ebenezer Mexican Restaurant,,,"Mexican, Latin American, New Mexican","Mexican, Latin American, New Mexican","10 14th Street, Bessemer, AL, 35020",35020,33.39516,-86.95482
